source_id,l,b,distance,distance[pc][stilism],reddening[mag][stilism],distance_uncertainty[pc][stilism],reddening_uncertainty_min[mag][stilism],reddening_uncertainty_max[mag][stilism]
HD49933 min parallax,213.344067,-0.381772,29.98056663,29.980999999999998,0.0,13.0,0.013999999999999999,0.013999999999999999
HD49933 parallax,213.344067,-0.381772,29.90066977,29.901,0.0,13.0,0.013999999999999999,0.013999999999999999
HD49933 max parallax,213.344067,-0.381772,29.82119761,29.820999999999998,0.0,13.0,0.013999999999999999,0.013999999999999999
